Frame#,mouth
0,<none>
1,hawkes5
2,hawkes5
3,hawkes5
4,hawkes5
5,hawkes5
6,hawkes3
7,hawkes3
8,hawkes3
9,hawkes3
10,hawkes5
11,hawkes5
12,hawkes2
13,hawkes2
14,hawkes5
15,hawkes5
16,hawkes4
17,hawkes4
18,hawkes4
19,hawkes2
20,hawkes2
21,hawkes5
22,hawkes5
23,hawkes4
24,hawkes4
25,<none>
26,<none>
27,<none>
28,hawkes3
29,hawkes3
30,hawkes3
31,hawkes3
32,hawkes3
33,hawkes3
34,hawkes3
35,hawkes3
36,hawkes3
37,hawkes3
38,hawkes3
39,hawkes3
40,hawkes3
41,hawkes3
42,hawkes5
43,hawkes5
44,hawkes5
45,hawkes3
46,hawkes3
47,<none>
48,<none>
49,<none>
50,hawkes3
51,hawkes3
52,hawkes3
53,<none>
54,<none>
55,<none>
56,<none>
57,<none>
58,<none>
59,<none>
60,hawkes3
61,hawkes3
62,hawkes3
63,hawkes3
64,hawkes3
65,hawkes5
66,hawkes5
67,hawkes5
68,hawkes4
69,hawkes3
70,hawkes3
71,hawkes2
72,hawkes2
73,hawkes2
74,hawkes5
75,hawkes5
76,hawkes5
77,hawkes5
78,hawkes5
79,hawkes5
80,hawkes3
81,hawkes3
82,hawkes3
83,hawkes2
84,hawkes2
85,hawkes2
86,hawkes5
87,hawkes5
88,hawkes2
89,hawkes2
90,hawkes3
91,hawkes5
92,hawkes5
93,hawkes5
94,<none>
95,<none>
96,hawkes5
97,hawkes5
98,hawkes2
99,hawkes2
100,hawkes2
101,hawkes2
102,hawkes2
103,hawkes2
104,hawkes2
105,hawkes2
106,hawkes2
107,hawkes2
108,hawkes5
109,hawkes5
110,hawkes5
111,hawkes5
112,hawkes5
113,hawkes5
114,hawkes5
115,hawkes5
116,hawkes5
117,hawkes3
118,hawkes3
119,hawkes3
120,hawkes3
121,hawkes5
122,hawkes5
123,hawkes5
124,hawkes5
125,hawkes3
126,hawkes3
127,hawkes3
128,hawkes3
129,<none>
130,<none>
131,<none>
132,<none>
133,hawkes3
134,hawkes3
135,hawkes3
136,hawkes3
137,hawkes5
138,hawkes5
139,hawkes5
140,hawkes5
141,hawkes3
142,hawkes3
143,hawkes3
144,hawkes3
145,<none>
146,<none>
147,<none>
148,<none>
149,hawkes5
150,hawkes5
151,hawkes5
152,hawkes5
153,hawkes5
154,hawkes3
155,hawkes3
156,hawkes3
157,hawkes2
158,hawkes2
159,hawkes2
160,hawkes2
161,hawkes3
162,hawkes3
163,hawkes3
164,hawkes5
165,<none>
166,<none>
167,hawkes5
168,hawkes5
169,hawkes5
170,hawkes3
171,hawkes3
172,hawkes3
173,hawkes5
174,hawkes5
175,hawkes5
176,hawkes5
177,hawkes5
178,hawkes3
179,hawkes3
180,hawkes3
181,hawkes3
182,hawkes2
183,hawkes2
184,hawkes2
185,hawkes2
186,hawkes5
187,hawkes5
188,hawkes5
189,hawkes5
190,hawkes5
191,hawkes5
192,<none>
193,<none>
